text,label
"Congratulations! You have won a $1000 Walmart gift card. Click here to claim now.",1
"Hi John, I will send you the project details by tonight.",0
"Lowest price Viagra pills available. Order now!!!",1
"Meeting is scheduled at 5 PM today. Don’t be late.",0
"Earn money quickly from home. Limited offer!!!",1
"Dear customer, your bank account has been suspended. Verify immediately.",1
"Let’s catch up tomorrow at the cafe.",0
"Your Amazon order has been shipped and will be delivered tomorrow.",0
"You have been selected for a free lottery prize worth $5000. Claim now!",1
"Reminder: College assignment submission is due tomorrow.",0